Product ID,Name,Price,Description,Specifications,Rating,Discount,Brand Name,Colors,Type,Dịch Description,Dịch Specifications
2,109F Women Blue Dyed Straight Maxi Skirt,1000,"Blue dyed straight maxi skirt, has an elasticated waistband, slip-on closure, straight hem, side slits. This product is very suitable for fall use","100% Viscose, Machine wash",3.6,10,20Dresses,"Yellow, Blue, Blue, Blue, Blue",Dress,"Chân váy maxi dáng thẳng màu xanh nhuộm, có cạp thun, đóng bằng cách trượt vào, gấu váy thẳng, xẻ tà hai bên. Sản phẩm này rất phù hợp để sử dụng vào mùa thu.","
100% vải viscose, giặt bằng máy."
7,20Dresses Women White Pure Cotton,1000,"Ready for summer, White self-striped woven A-line top, has shoulder straps, sleeveless, and concealed zip closure","Machine Wash.. Wash separately or with similar colours.. Do not Bleach..
Material- 100% Cotton",4.7,10,20Dresses,"Red, test",shirt (women),"
Sẵn sàng cho mùa hè, áo dáng chữ A dệt sọc trắng, có dây quai vai, không tay và khóa kéo ẩn.","Giặt bằng máy. Giặt riêng hoặc với các màu tương tự. Không dùng chất tẩy.
Chất liệu: 100% cotton."
16,Alcis Men Charcoal Grey Solid Sports Sweatshirt,1039,"Charcoal grey solid sports sweatshirt with melange effect, has a round neck, long sleeves, ribbed hem Engineered with Antimicrobial technology. The product is suitable for fall use","Wash: Machine wash
Sleeve: Full sleeves
Fabric: 100% Polyester Cationic",5,0,Alcis,"green, green",Sweatshirt,"
Áo sweatshirt thể thao màu xám đậm trơn với hiệu ứng melange, có cổ tròn, tay dài, gấu áo bo. Được thiết kế với công nghệ kháng khuẩn. Sản phẩm này phù hợp để sử dụng vào mùa thu.","Giặt: Giặt bằng máy
Tay áo: Tay dài
Chất liệu: 100% polyester cationic."
17,Alcis Men Navy Blue Solid Stand Collar T-shirt,500,"Make a name for yourself this season with this cool T-shirt from Alcis. Whether you're going for a jog or heading to gym, sport this number with solid shorts for a sporty style.","Fabric: 60% Cotton 40% Polyester
Sleeve Length: Short Sleeve
Neck: Polo Collar",5,0,Alcis,"blue, yellow",T-shirt,"Tạo dấu ấn cho riêng bạn mùa này với chiếc áo T-shirt phong cách từ Alcis. Dù bạn đi chạy bộ hay đến phòng gym, hãy kết hợp chiếc áo này với quần short trơn để có phong cách thể thao.","Chất liệu: 60% cotton, 40% polyester
Chiều dài tay: Tay ngắn
Cổ: Cổ polo."
18,Alcis Solid Brown Track Pants,649,These ALCIS men's pants is the perfect blend of style and comfort. These pants feature Soft-Touch technology for added comfort. Team It With A T-Shirt And Sports Shoes For A Complete Look,"Wash: Hand wash
Fabric: 100% Cotton
Range: Yoga",5,0,Alcis,"red, white",Pant,Quần ALCIS cho nam này là sự kết hợp hoàn hảo giữa phong cách và sự thoải mái. Những chiếc quần này được trang bị công nghệ Soft-Touch giúp tăng cường sự thoải mái. Kết hợp nó với một chiếc áo T-shirt và giày thể thao để có diện mạo hoàn chỉnh.,"Giặt: Giặt tay
Thành phần chất liệu: 100% cotton
Dòng sản phẩm: Yoga."
19,Alcis Charcoal Grey Self Design Tights,599,"Designed To Suit Your Workout Needs, This Pair Of Tights From Alcis Will Be The Perfect Pick. Team It With A T-Shirt And Sports Shoes For A Complete Look","Fabric: 90% Polyester 10% Lycra Foma
Wash: Hand wash",5,0,Alcis,Grey,Pant,"Được thiết kế để đáp ứng nhu cầu tập luyện của bạn, chiếc quần legging này từ Alcis sẽ là lựa chọn hoàn hảo. Kết hợp nó với một chiếc áo T-shirt và giày thể thao để có diện mạo hoàn chỉnh.","Thành phần chất liệu: 90% polyester, 10% lycra Foma
Giặt: Giặt tay."
20,Alcis Men Yellow Solid Polo Collar T-shirt,699,Express yourself with the ALCIS Polo that keeps you comfortable and accelerates performance. It fights sweat and body odour to keep you focused on your workout. This is the perfect choice for sports sessions,"Fabric: 60% COTTON 40% POLYESTER PIQUE
Neck: Polo
Wash Care: Machine Wash",5,0,Alcis,Yellow,T-shirt,Thể hiện bản thân với áo polo ALCIS giúp bạn luôn thoải mái và tăng cường hiệu suất. Nó chống mồ hôi và mùi cơ thể để bạn có thể tập trung vào việc tập luyện. Đây là lựa chọn hoàn hảo cho các buổi tập thể thao.,"Vải: 60% COTTON 40% POLYESTER PIQUE
Cổ: Polo
Chăm sóc giặt: Giặt máy"
21,Alcis Navy Blue Printed Detail Hooded Sweatshirt,1359,"You can't predict the weather but can prepare for it. Pull on this ALCIS sweatshirt when the weather gets moody, and go for your daily miles. This will be a very necessary product for this winter","Fabric: 70% Cotton 30% Polyester Fleece
Sleeves: Long Sleeve",5,0,Alcis,Blue,Sweatshirt,"Bạn không thể dự đoán thời tiết nhưng có thể chuẩn bị cho nó. Hãy mặc chiếc áo sweatshirt ALCIS này khi thời tiết trở nên khó lường, và thực hiện những bước chạy hàng ngày của bạn. Đây sẽ là sản phẩm rất cần thiết cho mùa đông này.","Vải: 70% Cotton 30% Lông Cừu Polyester
Tay áo: Tay áo dài"
22,Alcis Charcoal Grey Solid Sporty Jacket,1439,"Charcoal grey solid sporty jacket, has a mock collar, 2 pockets ,has a zip closure, long sleeves, straight hemline, cotton lining. Pair it with joggers for some cool ","Fabric: 100% Polyester
Sleeve Length: Long Sleeve
Knit/Woven: Knitted",5,10,Alcis,"white, green",Jacket,"Áo khoác thể thao màu xám đậm trơn, có cổ giả, 2 túi, khóa kéo, tay dài, gấu áo thẳng, có lớp lót bằng cotton. Kết hợp nó với quần jogger để tạo nên phong cách thật ngầu.","Vải: 100% Polyester
Chiều dài tay áo: Tay áo dài
Đan/Dệt: Dệt kim"
23,Alcis Men Black Solid Hooded Tracksuit,2799,"Black solid tracksuit with side detail. Black solid jacket with a hood, long sleeves, zip closure and 2 pockets. Black solid track pants, has an elasticated waistband, drawstring closure, 2 pockets and straight hems","Fabric: 100% Polyester Diagonal Terry
Sleeve: Long Sleeves
Wash: Hand wash",4.7,0,Alcis,black,Sweatshirt,"Bộ đồ thể thao màu đen trơn với chi tiết bên hông. Áo khoác màu đen trơn có mũ, tay dài, khóa kéo và 2 túi. Quần jogger màu đen trơn có cạp thun, dây rút, 2 túi và gấu quần thẳng.","Vải: 100% Polyester Vải chéo
Tay áo: Tay áo dài
Giặt: Giặt tay"
